,gecko_id,Master Category,category,Subcategory,missing_data,discount_rate,token_value_accrual,moat,tam,leadership,tva_multiplier,S_raw,P_original,unlock_adjustment,unlock_adjustment_pct,P,S,G,G_metric_used,P_to_S,P_to_SG,P_to_S_risk_adj,valuation_ratio,valuation_method,fundamental_score,Moat,TAM,Leadership,Token Value Accrual,Liquidity,Inflation Expectations,Market Leadership,competitive_dynamics,blended_points,in_selected,discount,final_quality_score,is_stock_proxy,stock_close_latest,stock_volume_latest,stock_mcap_latest,weight
57,injective-protocol,Finance,L1,Perps,No discount rate; ,,3.5,1.0,0.0,3.0,0.7,3626660.1657458562,379195640.0,377650760.0,99.59259025235627,756846400.0,2538662.1160220993,-0.7608253927124389,tvl_growth,298.12805541287383,1246.4870698185473,,298.12805541287383,P/S (G missing/≤0),3.0,1.0,0.0,3.0,3.5,4,5.0,,,,False,0.07500000000000001,,False,,,,0.0
58,filecoin,Infra,Blockchain Infra,Storage,No discount rate; ,,3.0,3.0,0.0,3.0,0.6,2440014.917127072,717673590.0,130701365.50107144,18.211812071985463,848374955.5010715,1464008.950276243,-0.9402928616156973,fees_growth,579.4875470815886,9705.498584637215,,579.4875470815886,P/S (G missing/≤0),3.0,3.0,0.0,3.0,3.0,4,2.0,,,,False,0.07500000000000001,,False,,,,0.0
59,thorchain,Finance,Dex,DEX,No discount rate; ,,2.75,1.0,0.0,2.0,0.55,103450.27624309392,182421481.0,41496320.00000001,22.747496496862674,223917801.0,56897.65193370166,1.8058021038790268,fees_growth,3935.4488874323624,1402.6109974012766,,1402.6109974012766,P/S/(1+G) [no D],3.0,1.0,0.0,2.0,2.75,4,5.0,,,,False,0.1,,False,,,,0.0
60,tria,Consumer,Blockchain Infra,Wallet,No growth metrics; No discount rate; ,,2.0,,0.0,,0.4,,88797935.0,0.0,0.0,88797935.0,1.0,,,88797935.0,,,88797935.0,P/S (G missing/≤0),2.0,,0.0,,2.0,2,5.0,,,,False,0.17500000000000002,,False,,,,0.0
61,sentient,Infra,AI,AI,No growth metrics; No discount rate; ,,2.0,,0.0,,0.4,,123170707.0,0.0,0.0,123170707.0,1.0,,,123170707.0,,,123170707.0,P/S (G missing/≤0),2.0,,0.0,,2.0,2,5.0,,,,False,0.17500000000000002,,False,,,,0.0
62,movement,Base Layer,L2,L2,No discount rate; ,,2.0,,0.0,,0.4,461.7955801104972,64904644.0,134757692.14583325,207.6241141478771,199662336.14583325,184.71823204419888,-2.0277777777777777,fees_growth,1080902.1607464205,-1051688.5888343551,,1080902.1607464205,P/S (G missing/≤0),2.0,,0.0,,2.0,2,1.0,,,,False,0.15000000000000002,,False,,,,0.0
63,ethgas-2,Finance,Single,Gas Trading,No growth metrics; No discount rate; ,,2.0,,0.0,,0.4,,236673608.0,0.0,0.0,236673608.0,1.0,,,236673608.0,,,236673608.0,P/S (G missing/≤0),2.0,,0.0,,2.0,2,5.0,,,,False,0.2,,False,,,,0.0
64,berachain-bera,Base Layer,L1,L1,No growth metrics; No discount rate; ,,2.5,,0.0,,0.5,,95596186.0,170027505.47348106,177.86013499898527,265623691.47348106,1.0,,,265623691.47348106,,,265623691.47348106,P/S (G missing/≤0),2.0,,0.0,,2.5,3,1.0,,,,False,0.2,,False,,,,0.0
65,ethereum-classic,Base Layer,L1,L1,No discount rate; ,,3.5,1.0,0.0,2.0,0.7,7041.878453038674,1322834187.0,0.0,0.0,1322834187.0,4929.314917127072,-1.2371657148101514,tvl_growth,268360.65644817456,-1131532.2565194315,,268360.65644817456,P/S (G missing/≤0),2.0,1.0,0.0,2.0,3.5,4,5.0,,,,False,0.15000000000000002,,False,,,,0.0
66,polkadot,Base Layer,L1,L1,No discount rate; ,,4.0,1.0,0.0,2.0,0.8,5269.309392265193,2031765983.0,1364907812.7142859,67.17839673144512,3396673795.714286,4215.447513812155,-1.3894887418188449,stablecoin_supply_growth,805768.2570082748,-2068784.461510946,,805768.2570082748,P/S (G missing/≤0),2.0,1.0,0.0,2.0,4.0,5,4.0,,,,False,0.15000000000000002,,False,,,,0.0
67,algorand,Base Layer,L1,L1,No discount rate; ,,3.5,1.0,0.0,3.0,0.7,6902.734806629834,1020698221.0,0.0,0.0,1020698221.0,4831.914364640883,-0.633350718221388,tvl_growth,211240.95833926482,576139.0212317805,,211240.95833926482,P/S (G missing/≤0),2.0,1.0,0.0,3.0,3.5,3,5.0,,,,False,0.15000000000000002,,False,,,,0.0
68,sahara-ai,Infra,AI,AI,No growth metrics; No discount rate; ,,2.0,,0.0,,0.4,,80342359.0,0.0,0.0,80342359.0,1.0,,,80342359.0,,,80342359.0,P/S (G missing/≤0),2.0,,0.0,,2.0,4,5.0,,,,False,0.17500000000000002,,False,,,,0.0
69,mantra,Finance,other,RWA,No growth metrics; No discount rate; ,,2.5,,0.0,,0.5,,50682659.0,0.0,0.0,50682659.0,1.0,,,50682659.0,,,50682659.0,P/S (G missing/≤0),2.0,,0.0,,2.5,2,5.0,,,,False,0.17500000000000002,,False,,,,0.0
70,sign-global,Infra,Blockchain Infra,Attestation,No growth metrics; No discount rate; ,,2.0,,0.0,,0.4,,29911908.0,0.0,0.0,29911908.0,1.0,,,29911908.0,,,29911908.0,P/S (G missing/≤0),2.0,,0.0,,2.0,3,5.0,,,,False,0.17500000000000002,,False,,,,0.0
71,ravedao,Consumer,Single,Entertainment,No growth metrics; No discount rate; ,,2.0,,0.0,,0.4,,158141868.0,0.0,0.0,158141868.0,1.0,,,158141868.0,,,158141868.0,P/S (G missing/≤0),2.0,,0.0,,2.0,3,5.0,,,,False,0.2,,False,,,,0.0
72,world-mobile-token,Infra,Blockchain Infra,Telecommunications,No growth metrics; No discount rate; ,,2.0,,0.0,,0.4,,55126941.0,0.0,0.0,55126941.0,1.0,,,55126941.0,,,55126941.0,P/S (G missing/≤0),2.0,,0.0,,2.0,4,5.0,,,,False,0.17500000000000002,,False,,,,0.0
73,arkham,Infra,Blockchain Infra,Data Analytics,No growth metrics; No discount rate; ,,2.0,,0.0,,0.4,,74919060.0,59551187.12771428,79.48736560190996,134470247.12771428,1.0,,,134470247.12771428,,,134470247.12771428,P/S (G missing/≤0),2.0,,0.0,,2.0,2,3.0,,,,False,0.17500000000000002,,False,,,,0.0
