,gecko_id,weight_risk_tech
0,MSTR,15.0
1,HOOD,8.91
2,COIN,6.09
3,bitcoin,50.0
4,binancecoin,3.16
5,bitcoin-cash,2.3
6,litecoin,2.46
7,ripple,1.61
8,ethereum,1.33
9,solana,1.16
10,stellar,1.39
11,chainlink,1.13
12,hyperliquid,3.37
13,cardano,1.06
14,zcash,1.02
