,weight
MSTR,17.46
HOOD,15.15
COIN,15.06
bitcoin,10.0
binancecoin,8.74
bitcoin-cash,6.56
litecoin,5.59
ripple,5.02
ethereum,4.18
solana,3.26
stellar,2.98
chainlink,2.02
hyperliquid,1.5
cardano,1.46
zcash,1.0
