,gecko_id,Master Category,category,Subcategory,missing_data,discount_rate,token_value_accrual,moat,tam,leadership,tva_multiplier,S_raw,P_original,unlock_adjustment,unlock_adjustment_pct,P,S,G,G_metric_used,P_to_S,P_to_SG,P_to_S_risk_adj,valuation_ratio,valuation_method,fundamental_score,Moat,TAM,Leadership,Token Value Accrual,Liquidity,Inflation Expectations,Market Leadership,competitive_dynamics,blended_points,in_selected,discount,final_quality_score,is_stock_proxy,stock_close_latest,stock_volume_latest,stock_mcap_latest,weight
0,ethereum,Base Layer,L1,L1,,0.17693851668655639,4.5,5.0,5.0,5.0,0.9,191781742.29281768,271479496920.0,0.0,0.0,271479496920.0,172603568.06353593,-0.7791264041167842,tvl_growth,1572.8498545294701,7121.040648793058,8381.027018455174,1572.8498545294701,P/S (G missing/≤0),3.0,5.0,5.0,5.0,4.5,5,5.0,5.0,5.0,4.966666666666666,True,0.1,4.47,False,,,,16.27
1,hyperliquid,Finance,Perps,Perps,,0.2280041786986698,4.5,5.0,5.0,5.0,0.9,962038044.005525,9909724670.0,23636685599.999996,238.5201041110257,33546410269.999996,865834239.6049725,0.08594734975174523,open_interest_growth,38.74461038328212,35.67816652634162,43.81293758265452,43.81293758265452,P/S*(1+D)/(1+G),4.0,5.0,5.0,5.0,4.5,5,3.0,5.0,5.0,4.833333333333333,True,0.05,4.591666666666666,False,,,,3.26
2,bitcoin,Base Layer,L1,L1,,0.1424983389462045,4.5,5.0,4.5,5.0,0.9,85424299.53038673,1462383501559.0,0.0,0.0,1462383501559.0,76881869.57734805,-0.8778104879665398,tvl_growth,19021.17507805594,155669.45772602165,177852.09687663612,19021.17507805594,P/S (G missing/≤0),2.0,5.0,4.5,5.0,4.5,5,5.0,5.0,5.0,4.833333333333332,True,0.125,4.229166666666666,False,,,,34.38
3,HOOD,Centralized,CEX,CEX,,0.24842322193240882,5.0,5.0,4.0,5.0,1.0,4472999936.0,62292340736.0,0.0,0.0,62292340736.0,4472999936.0,0.265,yfinance_revenue_growth,13.926300386157662,11.008933111587083,13.743807745205924,13.743807745205924,P/S*(1+D)/(1+G),4.0,5.0,4.0,5.0,5.0,5,5.0,5.0,5.0,4.7333333333333325,True,0.025,4.614999999999999,True,70.12000274658203,25973800.0,55398634508.42992,8.22
4,COIN,Centralized,CEX,CEX,,0.24842322193240882,5.0,5.0,4.0,5.0,1.0,6883438080.0,45262028800.0,0.0,0.0,45262028800.0,6883438080.0,-0.222,yfinance_revenue_growth,6.575497342165385,8.451796069621318,10.551418480352313,6.575497342165385,P/S (G missing/≤0),4.0,5.0,4.0,5.0,5.0,5,5.0,5.0,5.0,4.7333333333333325,True,0.025,4.614999999999999,True,169.02000427246094,10754900.0,37698437760.49515,7.01
5,solana,Base Layer,L1,L1,,0.23727248314823776,4.5,4.0,4.5,5.0,0.9,260964045.96685085,48852958067.0,40276306471.41685,82.44394621136227,89129264538.41684,234867641.37016577,-1.0275487578017803,tvl_growth,379.487204020343,-13775.11126820457,-17043.56612445474,379.487204020343,P/S (G missing/≤0),3.0,4.0,4.5,5.0,4.5,5,5.0,4.0,4.0,4.5666666666666655,True,0.07500000000000001,4.224166666666666,False,,,,6.28
6,uniswap,Finance,Dex,DEX,,0.23030609633453136,4.25,4.0,4.0,5.0,0.8500000000000001,782428239.0331491,2013115069.0,477000000.0,23.694621700732995,2490115069.0,665064003.1781769,-1.5930355350716519,trading_volume_growth,3.7441735789342894,-6.313573736322411,-7.767628257455049,3.7441735789342894,P/S (G missing/≤0),5.0,4.0,4.0,5.0,4.25,5,5.0,5.0,4.5,4.549999999999999,True,0.0,4.549999999999999,False,,,,1.45
7,CRCL,Centralized,Stablecoin,Stables,,0.24842322193240882,4.0,3.0,4.5,5.0,0.8,2746641920.0,23412043776.0,0.0,0.0,23412043776.0,2746641920.0,-0.31914160483819853,fees_growth,8.523879143299466,12.519312685090448,15.629400678699891,8.523879143299466,P/S (G missing/≤0),4.0,3.0,4.5,5.0,4.0,5,5.0,5.0,4.0,4.533333333333332,True,0.025,4.419999999999999,True,85.0999984741211,14780700.0,19444989593.243126,4.7
8,binancecoin,Centralized,CEX,CEX,No growth metrics; ,0.17801416884193003,3.75,5.0,4.0,5.0,0.75,,82733897512.0,83023197900.62794,100.34967576450266,165757095412.62793,1.0,,,165757095412.62793,,,165757095412.62793,P/S (G missing/≤0),1.0,5.0,4.0,5.0,3.75,5,5.0,4.0,4.5,4.516666666666666,True,0.25,3.3874999999999993,False,,,,5.38
9,MSTR,Centralized,other,DAT,No market cap; ,0.24842322193240882,5.0,5.0,3.5,5.0,1.0,,42153970839.9243,0.0,0.0,,1.0,,,,,,,Missing P/S,,5.0,3.5,5.0,5.0,5,3.0,5.0,5.0,4.466666666666667,True,0.0,4.466666666666667,True,128.86000061035156,14497400.0,42153970839.9243,6.41
